<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;25.09.2018;10:01:00;115350.0000000;115740.0000000;115320.0000000;115540.0000000;3063
SPFB.RTS-12.18;1;25.09.2018;10:02:00;115540.0000000;115560.0000000;115350.0000000;115400.0000000;2128
SPFB.RTS-12.18;1;25.09.2018;10:03:00;115390.0000000;115400.0000000;115330.0000000;115370.0000000;1150
SPFB.RTS-12.18;1;25.09.2018;10:04:00;115380.0000000;115400.0000000;115340.0000000;115390.0000000;1052
SPFB.RTS-12.18;1;25.09.2018;10:05:00;115390.0000000;115400.0000000;115270.0000000;115370.0000000;2008
SPFB.RTS-12.18;1;25.09.2018;10:06:00;115370.0000000;115420.0000000;115340.0000000;115410.0000000;989
SPFB.RTS-12.18;1;25.09.2018;10:07:00;115420.0000000;115460.0000000;115380.0000000;115410.0000000;1039
SPFB.RTS-12.18;1;25.09.2018;10:08:00;115430.0000000;115490.0000000;115400.0000000;115440.0000000;879
SPFB.RTS-12.18;1;25.09.2018;10:09:00;115450.0000000;115470.0000000;115310.0000000;115380.0000000;1153
SPFB.RTS-12.18;1;25.09.2018;10:10:00;115390.0000000;115440.0000000;115340.0000000;115370.0000000;588
SPFB.RTS-12.18;1;25.09.2018;10:11:00;115370.0000000;115390.0000000;115300.0000000;115320.0000000;704
SPFB.RTS-12.18;1;25.09.2018;10:12:00;115330.0000000;115330.0000000;115170.0000000;115240.0000000;1597
SPFB.RTS-12.18;1;25.09.2018;10:13:00;115240.0000000;115240.0000000;115070.0000000;115170.0000000;2301
SPFB.RTS-12.18;1;25.09.2018;10:14:00;115160.0000000;115170.0000000;115090.0000000;115130.0000000;946
SPFB.RTS-12.18;1;25.09.2018;10:15:00;115150.0000000;115150.0000000;115100.0000000;115140.0000000;340
SPFB.RTS-12.18;1;25.09.2018;10:16:00;115130.0000000;115150.0000000;115000.0000000;115020.0000000;1532
SPFB.RTS-12.18;1;25.09.2018;10:17:00;115010.0000000;115030.0000000;114930.0000000;114930.0000000;2406
SPFB.RTS-12.18;1;25.09.2018;10:18:00;114930.0000000;114950.0000000;114820.0000000;114830.0000000;2076
SPFB.RTS-12.18;1;25.09.2018;10:19:00;114820.0000000;114840.0000000;114650.0000000;114710.0000000;4169
SPFB.RTS-12.18;1;25.09.2018;10:20:00;114710.0000000;114710.0000000;114480.0000000;114690.0000000;3817
SPFB.RTS-12.18;1;25.09.2018;10:21:00;114690.0000000;114690.0000000;114610.0000000;114670.0000000;1279
SPFB.RTS-12.18;1;25.09.2018;10:22:00;114670.0000000;114850.0000000;114650.0000000;114850.0000000;2250
SPFB.RTS-12.18;1;25.09.2018;10:23:00;114840.0000000;114860.0000000;114750.0000000;114780.0000000;1208
SPFB.RTS-12.18;1;25.09.2018;10:24:00;114770.0000000;114820.0000000;114740.0000000;114750.0000000;418
SPFB.RTS-12.18;1;25.09.2018;10:25:00;114750.0000000;114790.0000000;114730.0000000;114760.0000000;336
SPFB.RTS-12.18;1;25.09.2018;10:26:00;114760.0000000;114770.0000000;114720.0000000;114760.0000000;494
SPFB.RTS-12.18;1;25.09.2018;10:27:00;114740.0000000;114840.0000000;114740.0000000;114830.0000000;582
SPFB.RTS-12.18;1;25.09.2018;10:28:00;114820.0000000;114830.0000000;114750.0000000;114790.0000000;446
SPFB.RTS-12.18;1;25.09.2018;10:29:00;114780.0000000;114850.0000000;114750.0000000;114820.0000000;572
SPFB.RTS-12.18;1;25.09.2018;10:30:00;114820.0000000;114850.0000000;114750.0000000;114760.0000000;501
SPFB.RTS-12.18;1;25.09.2018;10:31:00;114760.0000000;114850.0000000;114750.0000000;114830.0000000;532
SPFB.RTS-12.18;1;25.09.2018;10:32:00;114830.0000000;114840.0000000;114770.0000000;114830.0000000;469
SPFB.RTS-12.18;1;25.09.2018;10:33:00;114830.0000000;114920.0000000;114810.0000000;114900.0000000;869
SPFB.RTS-12.18;1;25.09.2018;10:34:00;114890.0000000;114900.0000000;114830.0000000;114880.0000000;382
SPFB.RTS-12.18;1;25.09.2018;10:35:00;114890.0000000;114950.0000000;114810.0000000;114830.0000000;974
SPFB.RTS-12.18;1;25.09.2018;10:36:00;114830.0000000;114850.0000000;114790.0000000;114810.0000000;520
SPFB.RTS-12.18;1;25.09.2018;10:37:00;114810.0000000;114910.0000000;114780.0000000;114910.0000000;518
SPFB.RTS-12.18;1;25.09.2018;10:38:00;114890.0000000;114930.0000000;114880.0000000;114880.0000000;328
SPFB.RTS-12.18;1;25.09.2018;10:39:00;114870.0000000;114890.0000000;114760.0000000;114770.0000000;460
SPFB.RTS-12.18;1;25.09.2018;10:40:00;114770.0000000;114770.0000000;114650.0000000;114650.0000000;1135
SPFB.RTS-12.18;1;25.09.2018;10:41:00;114650.0000000;114690.0000000;114630.0000000;114640.0000000;690
